[OK] sig_x=1.1150e-02  sig_y=1.1177e-02  alpha_x=-1.2608e+03  alpha_y=-1.2548e+03  X=[1.17 1.04 1.06 0.654]
[OK] sig_x=2.6085e-02  sig_y=2.6091e-02  alpha_x=-4.7991e+02  alpha_y=-4.7424e+02  X=[0.764 1.21 0.695 0.213]
[OK] sig_x=5.5768e-03  sig_y=5.5610e-03  alpha_x=2.3135e+02  alpha_y=2.2987e+02  X=[1.4 0.655 0.729 0.491]
[OK] sig_x=5.1101e-03  sig_y=5.1221e-03  alpha_x=-3.3091e+02  alpha_y=-3.2831e+02  X=[0.159 0.843 0.0104 0.702]
[OK] sig_x=7.5582e-03  sig_y=7.5223e-03  alpha_x=1.1916e+02  alpha_y=1.1919e+02  X=[0.246 1.03 0.93 0.732]
[OK] sig_x=2.2016e-02  sig_y=2.2051e-02  alpha_x=-4.3753e+02  alpha_y=-4.3385e+02  X=[1.4 0.595 0 0.46]
[OK] sig_x=2.6093e-03  sig_y=2.6273e-03  alpha_x=-6.6122e+01  alpha_y=-6.6061e+01  X=[1.11 0.336 0.344 0.651]
[OK] sig_x=1.3465e-02  sig_y=1.3525e-02  alpha_x=-2.3058e+03  alpha_y=-2.3062e+03  X=[1.4 0.12 0.391 1.22]
[OK] sig_x=2.8988e-02  sig_y=2.8987e-02  alpha_x=-1.2159e+03  alpha_y=-1.2077e+03  X=[0 1.26 0.648 0.103]
[OK] sig_x=9.1216e-03  sig_y=9.1817e-03  alpha_x=-6.8537e+02  alpha_y=-6.8808e+02  X=[1.4 0.124 1.11 0]
[OK] sig_x=2.8941e-02  sig_y=2.9059e-02  alpha_x=-1.1126e+03  alpha_y=-1.1149e+03  X=[0.238 1.25 0.49 0.361]
[OK] sig_x=3.7466e-03  sig_y=3.7586e-03  alpha_x=-2.4781e+02  alpha_y=-2.4615e+02  X=[0.904 0.405 0.712 0.197]
[OK] sig_x=1.1299e-02  sig_y=1.1226e-02  alpha_x=3.0216e+01  alpha_y=3.0864e+01  X=[0.804 0.58 0.108 0]
[OK] sig_x=7.3874e-03  sig_y=7.3766e-03  alpha_x=-4.4546e+02  alpha_y=-4.3921e+02  X=[1.11 0 0.828 0.207]
[OK] sig_x=1.0832e-02  sig_y=1.0854e-02  alpha_x=2.3639e+02  alpha_y=2.3678e+02  X=[1.4 0 0.3 0.642]
