[OK] sig_x=4.9619e-03  sig_y=4.9908e-03  alpha_x=-4.3137e+00  alpha_y=-4.3789e+00  X=[1.4 0.836 0.969 0.213]
[OK] sig_x=6.6290e-03  sig_y=6.6590e-03  alpha_x=-9.7842e+00  alpha_y=-9.9150e+00  X=[1.4 0.488 0.27 1.07]
[OK] sig_x=5.3978e-03  sig_y=5.3497e-03  alpha_x=-3.5149e+00  alpha_y=-3.4574e+00  X=[1.19 0 0.682 0.995]
[OK] sig_x=3.2593e-03  sig_y=3.2335e-03  alpha_x=3.9578e+00  alpha_y=3.9425e+00  X=[0.852 0.0545 0.284 0.757]
[OK] sig_x=1.6205e-02  sig_y=1.6274e-02  alpha_x=-3.2093e+01  alpha_y=-3.2535e+01  X=[1.4 0.0954 0.545 1.28]
[OK] sig_x=1.0690e-02  sig_y=1.0741e-02  alpha_x=-1.8298e+01  alpha_y=-1.8559e+01  X=[1.4 0.132 0.235 1.17]
[OK] sig_x=2.8948e-02  sig_y=2.9035e-02  alpha_x=-7.0658e+01  alpha_y=-6.9999e+01  X=[0.597 0 1.05 0.0295]
[OK] sig_x=9.1521e-03  sig_y=9.1217e-03  alpha_x=2.6057e+00  alpha_y=2.6268e+00  X=[0.288 1.09 0.836 0.658]
[OK] sig_x=1.5522e-02  sig_y=1.5502e-02  alpha_x=-8.5187e+00  alpha_y=-8.5318e+00  X=[0.27 0.969 0.729 0.509]
[OK] sig_x=2.8588e-02  sig_y=2.8537e-02  alpha_x=-3.3381e+01  alpha_y=-3.3448e+01  X=[0.452 1.22 1.39 1.39]
[OK] sig_x=3.8488e-03  sig_y=3.8449e-03  alpha_x=-3.1538e+00  alpha_y=-3.1478e+00  X=[1.09 0.369 0.287 0.876]
[OK] sig_x=6.1553e-03  sig_y=6.1539e-03  alpha_x=-9.3179e+00  alpha_y=-9.3571e+00  X=[0.81 0 0.559 0.77]
[OK] sig_x=1.7220e-03  sig_y=1.6986e-03  alpha_x=3.4748e-01  alpha_y=3.4160e-01  X=[1.4 0 0.844 0.476]
[OK] sig_x=8.0155e-03  sig_y=8.0236e-03  alpha_x=-5.9104e+00  alpha_y=-5.9418e+00  X=[0 0.878 0.279 0.651]
