[OK] sig_x=1.4356e-02  sig_y=1.4406e-02  alpha_x=-1.1523e+01  alpha_y=-1.1653e+01  X=[1.4 0 1.4 1.4]
[OK] sig_x=4.6084e-03  sig_y=4.5797e-03  alpha_x=-3.3265e+00  alpha_y=-3.2868e+00  X=[1.12 0.375 0.285 1.02]
[OK] sig_x=1.8147e-02  sig_y=1.8125e-02  alpha_x=-1.3552e+01  alpha_y=-1.3589e+01  X=[0 0.973 0.779 0.308]
[OK] sig_x=1.0999e-02  sig_y=1.1042e-02  alpha_x=-1.8592e+01  alpha_y=-1.8828e+01  X=[1.4 0.436 0.355 1.15]
[OK] sig_x=4.7521e-03  sig_y=4.7268e-03  alpha_x=3.0158e+00  alpha_y=3.0240e+00  X=[0.219 1.1 0.623 0.895]
[OK] sig_x=1.9214e-03  sig_y=1.9069e-03  alpha_x=1.8680e-01  alpha_y=1.6537e-01  X=[1.1 0 0.533 0.331]
[OK] sig_x=2.0600e-02  sig_y=2.0536e-02  alpha_x=1.1074e+01  alpha_y=1.1103e+01  X=[0.62 0.106 0.485 0.336]
[OK] sig_x=2.4035e-02  sig_y=2.4024e-02  alpha_x=-2.2846e+01  alpha_y=-2.2987e+01  X=[0 1.31 1.13 0.452]
[OK] sig_x=1.9712e-02  sig_y=1.9690e-02  alpha_x=-4.3461e+00  alpha_y=-4.3436e+00  X=[1.14 1.04 0.633 0.231]
[OK] sig_x=9.9245e-03  sig_y=9.9440e-03  alpha_x=-9.8642e+00  alpha_y=-9.9458e+00  X=[0 1.27 0.766 0.923]
[OK] sig_x=1.4231e-02  sig_y=1.4211e-02  alpha_x=-6.0282e+00  alpha_y=-6.0299e+00  X=[0.435 0.969 0.711 0.555]
[OK] sig_x=1.0048e-02  sig_y=1.0008e-02  alpha_x=7.3653e+00  alpha_y=7.3772e+00  X=[0.214 0.469 0.63 0]
[OK] sig_x=1.1840e-03  sig_y=1.1899e-03  alpha_x=-6.5729e-01  alpha_y=-6.8251e-01  X=[0.645 1.13 0 1.02]
[OK] sig_x=1.1986e-02  sig_y=1.2064e-02  alpha_x=-1.2876e+01  alpha_y=-1.3114e+01  X=[1.3 0.545 1.28 0]
[OK] sig_x=8.6593e-03  sig_y=8.6253e-03  alpha_x=8.7465e+00  alpha_y=8.7582e+00  X=[0.208 0.183 0.527 0.596]
[OK] sig_x=1.1800e-02  sig_y=1.1797e-02  alpha_x=-5.7590e+00  alpha_y=-5.7724e+00  X=[0.0537 0.943 0.345 0.707]
[OK] sig_x=2.5128e-03  sig_y=2.5265e-03  alpha_x=-1.3369e+00  alpha_y=-1.3727e+00  X=[1.4 0.268 0.962 0]
[OK] sig_x=1.9345e-02  sig_y=1.9323e-02  alpha_x=7.3809e+00  alpha_y=7.4322e+00  X=[0.626 1.14 0 0.771]
[OK] sig_x=8.4768e-03  sig_y=8.4877e-03  alpha_x=3.7833e+00  alpha_y=3.8358e+00  X=[1.4 0.148 0.387 0.682]
[OK] sig_x=1.5312e-02  sig_y=1.5283e-02  alpha_x=1.0035e+01  alpha_y=1.0081e+01  X=[0.643 1.25 0.199 0.844]
[OK] sig_x=1.5460e-03  sig_y=1.5242e-03  alpha_x=1.1472e+00  alpha_y=1.1260e+00  X=[0.951 0.275 0.457 0.619]
[OK] sig_x=4.7345e-03  sig_y=4.7055e-03  alpha_x=2.6364e+00  alpha_y=2.6418e+00  X=[0.569 1.12 0.844 0.69]
[OK] sig_x=8.3964e-03  sig_y=8.3813e-03  alpha_x=-9.9838e-01  alpha_y=-9.7979e-01  X=[0 0.96 0 0.94]
[OK] sig_x=6.7755e-03  sig_y=6.7699e-03  alpha_x=1.2279e+00  alpha_y=1.2544e+00  X=[1.4 0 0.773 0.155]
[OK] sig_x=6.9739e-03  sig_y=7.0051e-03  alpha_x=-5.9810e+00  alpha_y=-6.0581e+00  X=[0.598 1.06 1.14 0.856]
[OK] sig_x=1.8525e-02  sig_y=1.8634e-02  alpha_x=-3.9177e+01  alpha_y=-3.9713e+01  X=[1.4 0.0519 0.649 1.35]
[OK] sig_x=5.4231e-03  sig_y=5.3935e-03  alpha_x=5.8390e+00  alpha_y=5.8365e+00  X=[0.55 0.304 0.54 0.563]
[OK] sig_x=2.0414e-03  sig_y=2.0139e-03  alpha_x=8.6423e-01  alpha_y=8.5269e-01  X=[0.257 1.12 0.912 0.758]
[OK] sig_x=1.5185e-02  sig_y=1.5149e-02  alpha_x=8.3268e+00  alpha_y=8.3627e+00  X=[1.4 1.29 0.52 0.592]
[OK] sig_x=1.9954e-02  sig_y=1.9921e-02  alpha_x=5.8564e+00  alpha_y=5.8968e+00  X=[1.4 1.17 0.437 0.54]
[OK] sig_x=1.0951e-02  sig_y=1.0999e-02  alpha_x=-1.8515e+01  alpha_y=-1.8772e+01  X=[1.4 0.258 0.478 1.15]
[OK] sig_x=1.7310e-02  sig_y=1.7316e-02  alpha_x=1.4623e+00  alpha_y=1.4930e+00  X=[1.4 0.694 0.363 0.518]
[OK] sig_x=5.3177e-03  sig_y=5.3341e-03  alpha_x=-2.4573e+00  alpha_y=-2.4716e+00  X=[1.18 0.216 0.666 0.225]
[OK] sig_x=1.7069e-02  sig_y=1.7062e-02  alpha_x=-3.2744e+00  alpha_y=-3.2722e+00  X=[0 1.02 0 0.701]
[OK] sig_x=3.7584e-03  sig_y=3.7362e-03  alpha_x=2.7667e+00  alpha_y=2.7720e+00  X=[0.306 1.08 0.0246 1]
