[OK] sig_x=8.0394e-03  sig_y=8.0842e-03  sig_x=1.7333e-03  sig_y=1.7355e-03  X=[1.12 0.566 0 0.272]
[OK] sig_x=2.0867e-03  sig_y=2.0655e-03  sig_x=2.7714e-03  sig_y=2.7864e-03  X=[1.4 0 0.765 0.597]
[OK] sig_x=9.0974e-03  sig_y=9.1103e-03  sig_x=6.8479e-04  sig_y=6.7702e-04  X=[1.22 0.578 0.453 0.534]
[OK] sig_x=1.6521e-03  sig_y=1.6378e-03  sig_x=2.7798e-03  sig_y=2.7913e-03  X=[1.34 0.747 0.941 0.07]
[OK] sig_x=1.4619e-02  sig_y=1.4675e-02  sig_x=1.1019e-02  sig_y=1.1054e-02  X=[1.36 0.499 0 1.26]
[OK] sig_x=9.0601e-03  sig_y=8.9965e-03  sig_x=7.5960e-04  sig_y=7.6330e-04  X=[0.634 0.693 0.0873 0]
[OK] sig_x=2.2301e-02  sig_y=2.2322e-02  sig_x=2.2050e-03  sig_y=2.2041e-03  X=[1.4 0.376 0 0.325]
[OK] sig_x=2.8889e-02  sig_y=2.9000e-02  sig_x=4.4179e-03  sig_y=4.4363e-03  X=[0 1.15 0.222 0.145]
[OK] sig_x=2.8830e-02  sig_y=2.8554e-02  sig_x=5.1783e-03  sig_y=5.1197e-03  X=[0 0 1.4 1.4]
[OK] sig_x=7.3857e-03  sig_y=7.3286e-03  sig_x=1.1867e-03  sig_y=1.1897e-03  X=[0.436 0.759 0 0.116]
[OK] sig_x=1.9106e-02  sig_y=1.9019e-02  sig_x=8.0874e-04  sig_y=8.0131e-04  X=[0.8 0.479 0 0]
[OK] sig_x=2.8909e-02  sig_y=2.8609e-02  sig_x=1.5547e-02  sig_y=1.5380e-02  X=[0 0 0.527 1.4]
[OK] sig_x=2.3278e-03  sig_y=2.3082e-03  sig_x=1.7011e-03  sig_y=1.7029e-03  X=[0.716 0.741 0 0.231]
[OK] sig_x=2.8223e-02  sig_y=2.8212e-02  sig_x=1.8423e-03  sig_y=1.8429e-03  X=[1.25 1.1 0.158 0.435]
[OK] sig_x=7.7100e-03  sig_y=7.7304e-03  sig_x=5.0814e-04  sig_y=5.0156e-04  X=[1.28 0.335 0.387 0.593]
[OK] sig_x=1.2330e-02  sig_y=1.2268e-02  sig_x=8.0181e-04  sig_y=8.0484e-04  X=[0.397 0.709 0.221 0]
[OK] sig_x=2.8920e-02  sig_y=2.8819e-02  sig_x=2.6325e-03  sig_y=2.6249e-03  X=[0.974 1.24 0.0571 0.393]
[OK] sig_x=2.8887e-02  sig_y=2.8927e-02  sig_x=1.4709e-03  sig_y=1.4740e-03  X=[0.514 0.0212 0.318 0]
[OK] sig_x=6.0604e-03  sig_y=6.0140e-03  sig_x=7.6333e-04  sig_y=7.5806e-04  X=[0.8 0.874 1.03 0.841]
[OK] sig_x=3.4187e-03  sig_y=3.3856e-03  sig_x=1.5591e-03  sig_y=1.5401e-03  X=[1.11 0.534 0.0882 1.08]
[OK] sig_x=2.7406e-02  sig_y=2.7636e-02  sig_x=1.4779e-03  sig_y=1.4893e-03  X=[0.472 0.55 0 0]
[OK] sig_x=6.7757e-03  sig_y=6.7836e-03  sig_x=1.9186e-03  sig_y=1.9096e-03  X=[1.16 0.409 0.715 0]
[OK] sig_x=2.2370e-02  sig_y=2.2372e-02  sig_x=8.5512e-03  sig_y=8.5451e-03  X=[0.353 1.12 1.38 1.4]
[OK] sig_x=3.9343e-03  sig_y=3.9631e-03  sig_x=2.3344e-03  sig_y=2.3359e-03  X=[0.507 0.825 0.169 0]
[OK] sig_x=3.8270e-03  sig_y=3.7772e-03  sig_x=1.1531e-03  sig_y=1.1616e-03  X=[0.788 0.79 1.17 1.4]
[OK] sig_x=4.2448e-03  sig_y=4.2564e-03  sig_x=1.5115e-03  sig_y=1.4975e-03  X=[1.11 0.496 0.276 0.735]
[OK] sig_x=1.1763e-02  sig_y=1.1665e-02  sig_x=5.6070e-03  sig_y=5.5546e-03  X=[1.07 0.4 0.545 1.4]
[OK] sig_x=1.5595e-02  sig_y=1.5570e-02  sig_x=1.1836e-03  sig_y=1.1902e-03  X=[0 1.11 0.664 0.646]
[OK] sig_x=6.2958e-03  sig_y=6.2971e-03  sig_x=6.5344e-04  sig_y=6.5370e-04  X=[1.1 0.705 0 0.805]
[OK] sig_x=6.1869e-03  sig_y=6.1677e-03  sig_x=7.5464e-04  sig_y=7.4446e-04  X=[1.22 0.534 0.819 0.353]
[OK] sig_x=1.9210e-03  sig_y=1.9327e-03  sig_x=3.6506e-03  sig_y=3.6648e-03  X=[1.4 0.514 0.873 0.516]
[OK] sig_x=3.4894e-03  sig_y=3.4692e-03  sig_x=1.3126e-03  sig_y=1.3221e-03  X=[1.05 0.733 0.319 0.97]
[OK] sig_x=7.5213e-03  sig_y=7.5355e-03  sig_x=5.6593e-04  sig_y=5.5815e-04  X=[1.16 0.619 0 0.699]
[OK] sig_x=3.5789e-03  sig_y=3.5905e-03  sig_x=2.7733e-03  sig_y=2.7941e-03  X=[0.964 0.757 0.000349 1.4]
[OK] sig_x=2.8840e-02  sig_y=2.8916e-02  sig_x=4.8855e-04  sig_y=4.9164e-04  X=[0.254 0 0.428 0]
[OK] sig_x=2.1352e-02  sig_y=2.1401e-02  sig_x=1.2085e-02  sig_y=1.2104e-02  X=[0 1.09 0.976 1.4]
[OK] sig_x=6.9574e-03  sig_y=6.9873e-03  sig_x=1.7765e-03  sig_y=1.7738e-03  X=[0.993 0.693 0 0.466]
[OK] sig_x=1.7132e-02  sig_y=1.7058e-02  sig_x=2.8571e-04  sig_y=2.8184e-04  X=[0.606 0.62 0 0.12]

--- Optimisation Complete ---
Pareto front size: 5
