[OK] sig_x=6.1753e-03  sig_y=6.1692e-03  alpha_x=1.6444e+00  alpha_y=1.6724e+00  X=[1.4 0.0224 0.748 0.346]
[INFEASIBLE] sig_x=9.4143e-03  sig_y=9.3729e-03  alpha_x=9.9973e+00  alpha_y=1.0000e+01  X=[0.754 0.245 0.0313 0.721]
[INFEASIBLE] sig_x=1.5121e-02  sig_y=1.5072e-02  alpha_x=1.4052e+01  alpha_y=1.4078e+01  X=[0.505 0.385 0 0.674]
[INFEASIBLE] sig_x=2.8654e-02  sig_y=2.8834e-02  alpha_x=-9.8460e+01  alpha_y=-9.9624e+01  X=[0.496 0.251 1.31 0.833]
[INFEASIBLE] sig_x=1.4825e-02  sig_y=1.4773e-02  alpha_x=1.3807e+01  alpha_y=1.3826e+01  X=[0.719 0.0675 0 0.682]
[INFEASIBLE] sig_x=1.3923e-02  sig_y=1.3973e-02  alpha_x=-2.5421e+01  alpha_y=-2.5734e+01  X=[1.4 0.437 0.44 1.2]
[OK] sig_x=8.2082e-03  sig_y=8.1840e-03  alpha_x=-5.8940e+00  alpha_y=-5.8774e+00  X=[1 0.61 0.782 0.653]
[INFEASIBLE] sig_x=2.1502e-02  sig_y=2.1527e-02  alpha_x=-2.2306e+01  alpha_y=-2.2461e+01  X=[0 1.24 1.14 0.721]
[OK] sig_x=1.5369e-02  sig_y=1.5349e-02  alpha_x=4.2953e+00  alpha_y=4.3331e+00  X=[0.777 1.08 0.465 0.691]
[INFEASIBLE] sig_x=2.8830e-02  sig_y=2.8554e-02  alpha_x=-1.6743e+01  alpha_y=-1.6427e+01  X=[0 0 1.4 1.4]
[INFEASIBLE] sig_x=1.4357e-02  sig_y=1.4420e-02  alpha_x=-2.7244e+01  alpha_y=-2.7619e+01  X=[1.4 0.123 0.0307 1.25]
[INFEASIBLE] sig_x=1.9191e-02  sig_y=1.9218e-02  alpha_x=-2.0229e+01  alpha_y=-2.0438e+01  X=[1.4 0.52 1.37 1.28]
[INFEASIBLE] sig_x=1.6308e-02  sig_y=1.6289e-02  alpha_x=-2.8081e+01  alpha_y=-2.8184e+01  X=[0.0264 0.565 0.465 0.942]
[OK] sig_x=7.0762e-03  sig_y=7.0981e-03  alpha_x=-5.7198e+00  alpha_y=-5.7733e+00  X=[0 1.4 0.757 0.82]
[OK] sig_x=8.0352e-03  sig_y=7.9923e-03  alpha_x=7.2661e+00  alpha_y=7.2601e+00  X=[0.868 0.0349 0.411 0.573]
[OK] sig_x=6.2193e-03  sig_y=6.1856e-03  alpha_x=5.7858e+00  alpha_y=5.7839e+00  X=[0.257 0.657 0.287 0.602]
[OK] sig_x=2.5182e-03  sig_y=2.4943e-03  alpha_x=2.9010e+00  alpha_y=2.8841e+00  X=[0.82 0.296 0.357 0.719]
[INFEASIBLE] sig_x=2.8175e-02  sig_y=2.8779e-02  alpha_x=-2.3110e+02  alpha_y=-2.3200e+02  X=[0 0 1.4 0]
[INFEASIBLE] sig_x=1.5952e-02  sig_y=1.5969e-02  alpha_x=-1.7038e+01  alpha_y=-1.7159e+01  X=[0.466 1.26 0.0596 1.12]
